city,cloud,country,date,humidity,lat,lng,max_temp,wind_spd
atuona,92,PF,1547483370,100,-9.8,-139.03,81.15,13.47
westport,75,IE,1547481600,93,53.8,-9.52,44.6,5.82
san cristobal,20,EC,1547481600,49,-0.39,-78.55,68.0,4.7
souillac,90,FR,1547481600,66,45.6,-0.6,50.0,10.29
hilo,75,US,1547481180,63,19.71,-155.08,68.0,6.93
new norfolk,75,AU,1547481600,88,-42.78,147.06,64.4,4.7
havoysund,40,NO,1547481000,86,71.0,24.66,26.6,2.24
takoradi,24,GH,1547483371,97,4.89,-1.75,83.71,10.78
lebu,0,ET,1547478000,11,8.96,38.73,73.4,9.17
castro,0,CL,1547481600,52,-42.48,-73.76,66.2,6.93
iqaluit,90,CA,1547481600,70,63.75,-68.52,-2.21,14.99
panguna,80,PG,1547483372,84,-6.32,155.48,74.22,2.84
avarua,40,CK,1547481600,83,-21.21,-159.78,77.0,5.82
taltal,0,CL,1547483373,73,-25.41,-70.49,68.55,2.73
longyearbyen,20,NO,1547481000,77,78.22,15.63,6.8,11.41
kosa,92,RU,1547483373,85,59.94,54.99,15.22,9.22
saskylakh,0,RU,1547483373,0,71.97,114.09,-55.34,7.87
pacific grove,90,US,1547481600,66,36.62,-121.92,53.96,4.7
egvekinot,80,RU,1547483374,41,66.32,-179.17,-14.26,10.0
cabra,0,ES,1547481600,36,37.47,-4.43,64.4,4.7
nikolskoye,90,RU,1547481600,95,59.7,30.79,32.0,11.18
port alfred,0,ZA,1547483374,81,-33.59,26.89,74.26,6.87
husavik,32,CA,1547483374,88,50.56,-96.99,8.25,5.64
hasaki,20,JP,1547481600,100,35.73,140.83,37.4,6.93
salta,90,AR,1547481600,88,-24.79,-65.41,73.4,5.82
jinxiang,56,CN,1547483375,82,35.07,116.31,30.21,3.4
luderitz,0,NA,1547483375,63,-26.65,15.16,70.26,22.86
mitzic,32,GA,1547483375,78,0.78,11.55,81.46,2.73
airai,48,TL,1547483376,92,-8.93,125.41,70.62,1.39
baley,0,RU,1547483376,46,51.58,116.65,-16.73,4.97
cortland,1,US,1547482500,92,42.6,-76.18,17.06,3.36
newport,90,GB,1547481000,75,51.59,-3.0,46.4,9.17
chippewa falls,90,US,1547482500,89,44.94,-91.39,30.2,6.93
gushikawa,1,JP,1547481600,87,26.35,127.87,64.4,8.05
sao filipe,8,CV,1547483377,92,14.9,-24.5,73.99,16.26
bethel,90,US,1547481360,72,60.79,-161.76,37.94,13.87
jamestown,0,AU,1547483292,65,-33.21,138.6,72.42,5.64
stephenville,90,US,1547482500,85,32.22,-98.2,36.86,3.36
