city,cloud,country,date,humidity,lat,lng,max_temp,wind_spd
maragogi,36,BR,1547406687,75,-9.01,-35.22,84.25,10.42
mar del plata,0,AR,1547406136,27,-46.43,-67.52,77.9,5.39
vaini,0,IN,1547406135,77,15.34,74.49,63.32,3.38
saskylakh,0,RU,1547406364,0,71.97,114.09,-58.05,7.52
castro,0,CL,1547402400,59,-42.48,-73.76,64.4,9.17
tuatapere,88,NZ,1547406469,100,-46.13,167.69,49.46,8.3
ishim,88,RU,1547406688,87,56.11,69.47,23.45,17.02
college,1,US,1547402280,76,64.86,-147.8,-7.97,3.04
pontianak,92,ID,1547406688,100,-0.02,109.34,75.2,2.93
wuchang,8,CN,1547406688,69,44.93,127.16,1.67,4.5
ribeira brava,20,PT,1547404200,77,32.65,-17.07,64.4,10.29
biltine,8,TD,1547406689,22,14.53,20.93,77.95,9.42
mahebourg,40,MU,1547402400,74,-20.41,57.7,80.6,11.41
thompson,90,CA,1547402400,85,55.74,-97.86,17.6,12.75
patiya,0,BD,1547406689,100,22.3,91.98,66.16,10.09
angoche,68,MZ,1547406478,100,-16.23,39.91,82.4,18.48
severo-yeniseyskiy,56,RU,1547406526,35,60.37,93.04,-24.16,3.04
shirokiy,80,RU,1547406689,89,53.87,39.17,22.19,10.2
narsaq,75,GL,1547401800,80,60.91,-46.05,30.2,4.7
dikson,80,RU,1547406182,92,73.51,80.55,1.0,31.12
kalanguy,24,RU,1547406690,67,51.01,116.52,-2.56,14.12
georgetown,40,GY,1547402400,66,6.8,-58.16,86.0,13.87
busselton,0,AU,1547406142,100,-33.64,115.35,61.66,18.81
evensk,24,RU,1547406690,100,61.92,159.24,0.32,8.86
tupik,64,RU,1547406690,74,54.43,119.94,-13.0,2.82
provideniya,8,RU,1547406425,100,64.42,-173.23,-5.17,22.5
port alfred,0,ZA,1547406382,79,-33.59,26.89,70.48,12.77
rikitea,36,PF,1547406131,98,-23.12,-134.97,79.52,12.66
dayong,56,PH,1547406458,100,11.74,122.04,79.34,20.83
hermanus,8,ZA,1547406140,58,-34.42,19.24,67.19,6.4
albany,20,US,1547405760,43,42.65,-73.75,21.92,6.93
norman wells,40,CA,1547402400,74,65.28,-126.83,-23.81,11.41
ushuaia,75,AR,1547402400,62,-54.81,-68.31,59.0,35.57
kapaa,90,US,1547403660,75,22.08,-159.32,71.06,4.27
nikolskoye,75,RU,1547404200,92,59.7,30.79,24.8,6.71
bure,8,NG,1547406691,21,10.52,10.33,79.03,8.97
cockburn town,64,TC,1547406691,98,21.46,-71.14,79.21,15.35
sao filipe,36,CV,1547406400,90,14.9,-24.5,73.9,12.44
mataura,100,NZ,1547406133,88,-46.19,168.86,50.05,6.96
east london,0,ZA,1547402400,73,-33.02,27.91,69.8,2.24
petropavlovsk-kamchatskiy,24,RU,1547402400,77,53.05,158.65,5.0,8.95
bluff,0,AU,1547406386,71,-23.58,149.07,70.75,10.65
lompoc,1,US,1547404500,62,34.64,-120.46,55.94,6.93
barcelos,0,PT,1547404200,76,41.53,-8.62,50.0,8.05
saint-pierre,90,FR,1547404200,87,48.95,4.24,48.2,20.8
longyearbyen,75,NO,1547401800,72,78.22,15.63,15.8,17.22
upernavik,36,GL,1547406308,100,72.79,-56.15,-11.47,8.19
ballina,75,IE,1547406000,75,54.11,-9.15,44.6,21.92
yeppoon,90,AU,1547404200,73,-23.13,150.74,73.4,6.93
kavaratti,0,IN,1547406528,100,10.57,72.64,82.13,9.42
punta arenas,90,CL,1547402400,81,-53.16,-70.91,50.0,14.99
kaduna,8,NG,1547406496,22,10.52,7.44,81.68,8.97
banda aceh,64,ID,1547406703,100,5.56,95.32,74.03,2.59
fatehpur,48,PK,1547406703,85,31.18,71.21,50.81,7.96
new norfolk,0,AU,1547404200,82,-42.78,147.06,57.2,6.93
